date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:48	705576/705576	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51794-ac428%22	https://prium.github.io/phoenix/v1.22.0/index.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/index.html	(from )
22:30:48	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226801765d-239b%22	https://prium.github.io/robots.txt		(from )
22:30:48	29202/29202	---M--	200	added ('OK')	image/png	etag:%2267e51792-7212%22	https://prium.github.io/phoenix/v1.22.0/assets/img/favicons/apple-touch-icon.png	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/img/favicons/apple-touch-icon.png	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:49	1794/1794	---M--	200	added ('OK')	image/png	etag:%2267e51791-702%22	https://prium.github.io/phoenix/v1.22.0/assets/img/favicons/favicon-32x32.png	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/img/favicons/favicon-32x32.png	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:49	678/678	---M--	200	added ('OK')	image/png	etag:%2267e51791-2a6%22	https://prium.github.io/phoenix/v1.22.0/assets/img/favicons/favicon-16x16.png	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/img/favicons/favicon-16x16.png	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:49	15406/15406	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2267e51794-3c2e%22	https://prium.github.io/phoenix/v1.22.0/assets/img/favicons/favicon.ico	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/img/favicons/favicon.ico	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:49	403/403	---M-Z	200	added ('OK')	application/json	etag:W/%2267e51794-193%22	https://prium.github.io/phoenix/v1.22.0/assets/img/favicons/manifest.json	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/img/favicons/manifest.json	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:50	2610/2610	---M--	200	added ('OK')	image/png	etag:%2267e51791-a32%22	https://prium.github.io/phoenix/v1.22.0/assets/img/favicons/mstile-150x150.png	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/img/favicons/mstile-150x150.png	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:50	27057/27057	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267e51792-69b1%22	https://prium.github.io/phoenix/v1.22.0/vendors/simplebar/simplebar.min.js	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/vendors/simplebar/simplebar.min.js	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:50	2494/2494	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267e51792-9be%22	https://prium.github.io/phoenix/v1.22.0/assets/js/config.js	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/js/config.js	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:51	3269/3269	---M-Z	200	added ('OK')	text/css	etag:W/%2267e51794-cc5%22	https://prium.github.io/phoenix/v1.22.0/vendors/simplebar/simplebar.min.css	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/vendors/simplebar/simplebar.min.css	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:51	66419/66419	---MCZ	200	added ('OK')	text/css	etag:W/%22accdbde3b79ab05345137cafe7201b9d%22	https://unicons.iconscout.com/release/v4.0.8/css/line.css	C:/Users/admin/Downloads/Ban-hang/unicons.iconscout.com/release/v4.0.8/css/line.css	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:51	1117769/1117769	---M-Z	200	added ('OK')	text/css	etag:W/%2267e51794-110e49%22	https://prium.github.io/phoenix/v1.22.0/assets/css/theme-rtl.min.css	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/css/theme-rtl.min.css	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:52	1118582/1118582	---M-Z	200	added ('OK')	text/css	etag:W/%2267e51794-111176%22	https://prium.github.io/phoenix/v1.22.0/assets/css/theme.min.css	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/css/theme.min.css	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:52	21/21	---M--	200	added ('OK')	text/css	etag:%2267e51791-15%22	https://prium.github.io/phoenix/v1.22.0/assets/css/user-rtl.min.css	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/css/user-rtl.min.css	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:52	21/21	---M--	200	added ('OK')	text/css	etag:%2267e51794-15%22	https://prium.github.io/phoenix/v1.22.0/assets/css/user.min.css	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/assets/css/user.min.css	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:52	14806/14806	---M-Z	200	added ('OK')	text/css	etag:W/%2267e51792-39d6%22	https://prium.github.io/phoenix/v1.22.0/vendors/leaflet/leaflet.css	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/vendors/leaflet/leaflet.css	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:53	872/872	---M-Z	200	added ('OK')	text/css	etag:W/%2267e51792-368%22	https://prium.github.io/phoenix/v1.22.0/vendors/leaflet.markercluster/MarkerCluster.css	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/vendors/leaflet.markercluster/MarkerCluster.css	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:53	1287/1287	---M-Z	200	added ('OK')	text/css	etag:W/%2267e51791-507%22	https://prium.github.io/phoenix/v1.22.0/vendors/leaflet.markercluster/MarkerCluster.Default.css	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/vendors/leaflet.markercluster/MarkerCluster.Default.css	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:53	784090/784090	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51794-bf6da%22	https://prium.github.io/phoenix/v1.22.0/dashboard/project-management.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/dashboard/project-management.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:54	642510/642510	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51792-9cdce%22	https://prium.github.io/phoenix/v1.22.0/dashboard/crm.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/dashboard/crm.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:54	673694/673694	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51794-a479e%22	https://prium.github.io/phoenix/v1.22.0/dashboard/travel-agency.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/dashboard/travel-agency.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:54	786523/786523	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51791-c005b%22	https://prium.github.io/phoenix/v1.22.0/dashboard/stock.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/dashboard/stock.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:55	654696/654696	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51791-9fd68%22	https://prium.github.io/phoenix/v1.22.0/apps/social/feed.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/social/feed.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:55	648402/648402	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51794-9e4d2%22	https://prium.github.io/phoenix/v1.22.0/apps/e-commerce/admin/add-product.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/e-commerce/admin/add-product.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:55	687583/687583	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51794-a7ddf%22	https://prium.github.io/phoenix/v1.22.0/apps/e-commerce/admin/products.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/e-commerce/admin/products.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
22:30:56	660889/660889	---M-Z	200	added ('OK')	text/html	etag:W/%2267e51791-a1599%22	https://prium.github.io/phoenix/v1.22.0/apps/e-commerce/admin/customers.html	C:/Users/admin/Downloads/Ban-hang/prium.github.io/phoenix/v1.22.0/apps/e-commerce/admin/customers.html	(from https://prium.github.io/phoenix/v1.22.0/index.html)
